feature,bias_224,iqr_224,bias_160,iqr_160,bias_128,iqr_128,bias_96,iqr_96,bias_64,iqr_64,res_drift_224
face_roundness,0.024515823721904362,0.15363857945567633,0.04816077477885057,0.2981590727625143,0.038186393154738846,0.35609379265681257,0.06197679900739842,0.5708164217285111,0.07792260282230581,0.9216616690731212,0.024515823721904362
face_width_uniformity,-0.1845001124179871,0.35798513384281505,-0.3267034769126823,0.5909687606089772,-0.35724073607346984,0.7856231455936847,-0.34896786330030893,1.0017221189196528,-0.276298439243857,1.3598952669399689,0.1845001124179871
jaw_to_forehead_ratio,0.02227638073759971,0.2272864068047563,0.05220789670623775,0.4058866296357834,0.06507478707741293,0.4874763610763803,0.06710813155983428,0.6638939942456088,0.14812083280810984,0.8211205777138677,0.02227638073759971
face_triangularity,0.024737320236955487,0.19849765447446666,0.011056584295032128,0.28940134884168134,0.007139279551294053,0.37803098768315946,0.04171722660854489,0.542257156444639,-0.015129898905695795,0.8344431891428435,0.024737320236955487
face_asymmetry,-0.00504556666226339,0.1085157468631388,-0.015806069256737443,0.18261976560382007,-0.037885427145179326,0.24882160671655557,-0.041348308906889106,0.39063627498794024,-0.04105480283736364,0.5987271391276058,0.00504556666226339
midface_width,-0.0603821326752807,0.17058656983739348,-0.125867358111384,0.31546957224605454,-0.15561195437649625,0.4046045566669327,-0.21745508317614223,0.5675863757049194,-0.3715808474088667,0.7930081639622799,0.0603821326752807
malar_bulge_r,0.018646890067605816,0.07749318035584414,0.03996460686952934,0.1344840798235871,0.04473159262839592,0.16897011533728584,0.04399738078236179,0.23662721168724876,0.04023573741405566,0.41581663221831755,0.018646890067605816
malar_bulge_l,0.02174724089744606,0.07680809853388842,0.03417096710239155,0.12562391326469352,0.040465324064295906,0.16406739083054528,0.04817866953463684,0.24218539815530593,0.08016562416803938,0.39948188725530676,0.02174724089744606
malar_bulge_mean,0.1826822053508547,0.38455123727088264,0.343737116046301,0.7110363856749168,0.3745954644849422,0.8737296647964523,0.5136636956625962,1.1038619853773488,0.4605754016769144,1.5415832379914125,0.1826822053508547
malar_bulge_asym,-0.03804101560371434,0.1453470459526679,-0.08237045918597574,0.2844138414765589,-0.08191087924769094,0.3548921037956884,-0.0877199712739798,0.42684239763182996,-0.10730760104641492,0.653781454641948,0.03804101560371434
cheek_area_r,0.01861123098323017,0.11172986272835786,0.022640142356135436,0.20300979003658054,0.019281575085894394,0.25602891797964417,0.03463130077292377,0.3613952896247459,-0.004988880499921732,0.5799912749357491,0.01861123098323017
cheek_area_l,0.014140436510512985,0.10823184438109967,0.009229138764590403,0.2086403416564171,0.001068924944027324,0.22098401656664762,0.011107913442624628,0.35528464845972707,0.03266344351723336,0.5379296616717482,0.014140436510512985
cheek_area_mean,0.033073693440404076,0.13129053363209858,0.044586273780046815,0.27774104928152177,0.03373687100005884,0.32815109210098303,0.052236159467385836,0.45633932861561555,0.07592392660514194,0.674197375142542,0.033073693440404076
cheek_area_asym,0.017456584806774714,0.11858713564101396,0.04024879223285534,0.2241583289609161,0.05269196316626808,0.287343686507549,0.054566330097470306,0.3692155953711024,0.07772903599298811,0.5484077127292939,0.017456584806774714
